id,referencia,poliza_id,vehiculo_id,asegurado_id,fecha_siniestro,lugar,responsable,importe_estimada,estado,Nombre,Apellido
1,SIN000001,1,1,1,2022-01-20,Madrid,True,4548.93,EN_TRAMITE,Jan,Pereira
2,SIN000002,1,1,1,2021-04-11,Madrid,True,4859.74,EN_TRAMITE,Jan,Pereira
3,SIN000003,1,1,1,2022-01-17,Madrid,True,5850.24,ABIERTA,Jan,Pereira
4,SIN000004,1,1,1,2023-01-06,Madrid,True,7563.4,ABIERTA,Jan,Pereira
5,SIN000005,1,1,1,2024-07-28,Valencia,True,6813.67,ABIERTA,Jan,Pereira
6,SIN000006,1,1,1,2024-10-04,Barcelona,True,7928.16,ABIERTA,Jan,Pereira
7,SIN000007,1,1,1,2023-01-03,Barcelona,True,6715.44,EN_TRAMITE,Jan,Pereira
8,SIN000008,2,2,2,2021-02-15,Valencia,True,6811.38,ABIERTA,Jan,Pereira
9,SIN000009,2,2,2,2023-03-07,Valencia,True,6734.98,EN_TRAMITE,Jan,Pereira
10,SIN000010,2,2,2,2021-02-20,Barcelona,True,7459.17,EN_TRAMITE,Jan,Pereira
11,SIN000011,2,2,2,2020-08-25,Valencia,True,7481.83,EN_TRAMITE,Jan,Pereira
12,SIN000012,2,2,2,2021-01-07,Valencia,True,7824.88,ABIERTA,Jan,Pereira
13,SIN000013,3,3,3,2021-10-29,Madrid,True,4655.78,EN_TRAMITE,Jan,Pereira
14,SIN000014,3,3,3,2020-03-14,Barcelona,True,6745.05,EN_TRAMITE,Jan,Pereira
15,SIN000015,3,3,3,2020-08-28,Madrid,True,6036.11,ABIERTA,Jan,Pereira
16,SIN000016,3,3,3,2021-10-12,Madrid,True,4362.58,ABIERTA,Jan,Pereira
17,SIN000017,3,3,3,2022-08-20,Valencia,True,3846.06,EN_TRAMITE,Jan,Pereira
18,SIN000018,4,4,4,2023-11-28,Barcelona,True,4382.85,ABIERTA,Jan,Pereira
19,SIN000019,4,4,4,2022-08-22,Barcelona,True,4541.83,ABIERTA,Jan,Pereira
20,SIN000020,4,4,4,2022-09-24,Madrid,True,4542.09,EN_TRAMITE,Jan,Pereira
21,SIN000021,4,4,4,2022-11-04,Valencia,True,5695.98,ABIERTA,Jan,Pereira
22,SIN000022,4,4,4,2022-11-03,Barcelona,True,6485.92,EN_TRAMITE,Jan,Pereira
23,SIN000023,4,4,4,2024-03-15,Barcelona,True,5405.12,EN_TRAMITE,Jan,Pereira
24,SIN000024,4,4,4,2024-04-22,Valencia,True,4446.93,ABIERTA,Jan,Pereira
25,SIN000025,4,4,4,2023-05-06,Valencia,True,5727.45,ABIERTA,Jan,Pereira
26,SIN000026,4,4,4,2024-10-19,Madrid,True,3904.45,ABIERTA,Jan,Pereira
27,SIN000027,5,5,5,2022-04-05,Barcelona,True,7061.45,ABIERTA,Jan,Pereira
28,SIN000028,5,5,5,2020-11-20,Madrid,True,3987.53,ABIERTA,Jan,Pereira
