id,nif,nombre,tipo_persona
1,75070427Z,Jorge Vargas González,FISICA
2,82434272H,Ana Silva Castro,FISICA
3,67193116L,Luis López Castro,FISICA
4,25407914K,Jan Martínez Gómez,FISICA
5,13515497F,Patricia Torres Martínez,FISICA
6,87015034P,Laura Vargas Vargas,FISICA
7,76807485C,Diego Gómez Sánchez,FISICA
8,39251651N,Fernando Fernández López,FISICA
9,94396965C,Valentina Fernández Pereira,FISICA
10,63546922S,Jan Gómez Sánchez,FISICA
11,75148396J,Fernando Martínez Torres,FISICA
12,51991424Q,Sofía Rodríguez García,FISICA
13,95807150Y,Juan Torres García,FISICA
14,20796799S,Jan Pérez Martínez,FISICA
15,27245992P,Jorge González Rodríguez,FISICA
16,76739100Z,Luis Pereira Gómez,FISICA
17,66829463L,María López García,FISICA
18,83883231T,Laura López García,FISICA
19,26497730M,Miguel Sánchez Silva,FISICA
20,84381261B,Juan Silva Gómez,FISICA
21,63296647A,Miguel Castro García,FISICA
22,79805119H,Valentina González Gómez,FISICA
23,96555866A,Elena González Pérez,FISICA
24,58146102D,Carlos Silva Pereira,FISICA
25,10203547B,Sofía Torres López,FISICA
26,69985697D,Fernando López López,FISICA
27,58844776N,María Castro Castro,FISICA
28,22461252G,Ana Martínez Castro,FISICA
29,99195836X,Antonio Torres Sánchez,FISICA
30,45824767G,Diego Gómez Gómez,FISICA
31,87280778X,Patricia García Pereira,FISICA
32,87665927R,Patricia Martínez Gómez,FISICA
33,51066382B,Roberto Gómez Torres,FISICA
34,58679359B,Carmen Pérez Fernández,FISICA
35,78588025S,Ana Rodríguez Pérez,FISICA
36,69676508D,Elena Rodríguez Pereira,FISICA
37,60416721E,Carmen Pereira Pereira,FISICA
38,23832786W,Fernando Martínez González,FISICA
39,37953167Q,Sofía Rodríguez Sánchez,FISICA
40,94437297X,Roberto Sánchez Pérez,FISICA
41,79153439C,Ana Silva Pérez,FISICA
42,10559298K,Valentina Fernández Gómez,FISICA
43,83163037M,Ana García Torres,FISICA
44,94123869A,Pedro López García,FISICA
45,64142274N,Miguel Torres Vargas,FISICA
46,77931887K,Carmen Martínez Pereira,FISICA
